Tiles,Time,Time-toTiles Ratio,Percent Increase in Tiles,Precent Increase in Time
196,0.478370131,0.002440664,1,1
400,1.033422682,0.002583557,2.040816327,2.16029935
484,2.719713449,0.005619243,2.469387755,5.685374725
576,1.855641742,0.0032216,2.93877551,3.879091991
676,2.359121404,0.003489825,3.448979592,4.931581746
784,4.827539444,0.006157576,4,10.09164063
900,9.839623063,0.010932915,4.591836735,20.56905821
1024,12.0645186,0.011781756,5.224489796,25.22004998
1156,13.67800118,0.011832181,5.897959184,28.59292483
1296,46.2320944,0.035672912,6.612244898,96.64502745
1444,30.16353916,0.020888878,7.367346939,63.05481306
1600,23.58518375,0.01474074,8.163265306,49.30321156
1764,33.74175771,0.019127981,9,70.53483392
1936,47.78197506,0.024680772,9.87755102,99.88494684
2116,50.26132935,0.023752991,10.79591837,105.0678672
2304,71.87021832,0.031193671,11.75510204,150.2397699
2500,85.40178034,0.034160712,12.75510204,178.5265736
